Shipment Reference,Place of Loading,Place of Delivery,Vehicle Type,Q/TY,Rate (USD),Distance(km)
HVDC-DSV-SKM-MOSB-212,SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,FLATBED,1.0,200.0,0
HVDC-DSV-SKM-MOSB-212,SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,LOWBED,6.0,599.0469707283867,0
HVDC-DSV-PRE-MIR/SHU/DAS/AGI-213,PRESTIGE MUSSAFAH,SAMSUNG MOSB YARD,FLATBED,1.0,200.0,0
HVDC-DSV-PRE-MIR/SHU/DAS/AGI-213,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,FLATBED,1.0,210.0,0
HVDC-DSV-PRE-MIR/SHU/DAS/AGI-213,PRESTIGE MUSSAFAH,SHUWEIHAT POWER STATION,FLATBED,2.0,600.0,0
HVDC-DSV-PRE-MIR-214,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,FLATBED (CICPA),1.0,420.0,0
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",SAMSUNG MOSB YARD,DSV MUSSAFAH YARD,FLATBED,1.0,200.0,0
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,FLATBED,3.0,600.0,0
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,FLATBED,4.0,200.0,0
"HVDC-ADOPT-SCT-0126, HVDC-ADOPT-SCT-0126_DAS",DSV MUSSAFAH YARD,MIRFA PMO SAMSUNG,FLATBED,4.0,420.0,0
HVDC-DSV-MOSB-SHU-216,SAMSUNG MOSB YARD,SHUWEIHAT POWER STATION,3 TON PU,1.0,210.0,0
HVDC-DSV-SHU-218,DSV MUSSAFAH YARD,SHUWEIHAT POWER STATION,FLATBED,1.0,600.0,0
HVDC-DSV-MOSB-MIR-219,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,FLATBED,1.0,420.0,0
HVDC-DSV-SAS-MOSB-217,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,1.0,200.0,0
HVDC-ADOPT-HE-0487,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,FLATBED,4.0,200.0,0
HVDC-MIR-DSV-221,MIRFA PMO SAMSUNG,DSV M44 WAREHOUSE,FLATBED,1.0,420.0,0
HVDC-DSV-MOSB-MIR-220,DSV M44 WAREHOUSE,MIRFA PMO SAMSUNG,FLATBED,14.0,420.0,0
HVDC-DSV-MOSB-MIR-220,DSV MARKAZ,MIRFA PMO SAMSUNG,FLATBED,4.0,420.0,0
HVDC-DSV-MOSB-222,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,3 TON PU,1.0,120.0,0
HVDC-DSV-MOSB-222,DSV MARKAZ,SAMSUNG MOSB YARD,3 TON PU,1.0,120.0,0
HVDC-DSV-FP-TRO-223,MINA FREE PORT,TROJAN MUSSAFAH,LOWBED,8.0,680.7351940095303,0
HVDC-DSV-MOSB-223,DSV MARKAZ,SAMSUNG MOSB YARD,FLATBED,1.0,200.0,0
HVDC-DSV-MOSB-223,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,1.0,200.0,0
HVDC-DSV-HE-SHU-199,HAULER DUBAI,SHUWEIHAT POWER STATION,FLATBED HAZMAT,3.0,1307.0115724982982,0
HVDC-DSV-HE-MIR-TEC-224,MIRFA PMO SAMSUNG,JEBEL ALI,FLATBED,1.0,770.0,0
HVDC-DSV-HE-MIR-TEC-224,SAMSUNG MOSB YARD,MIRFA PMO SAMSUNG,FLATBED,1.0,714.0,0
HVDC-DSV-MOSB-225,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,FLATBED,1.0,200.0,0
HVDC-DSV-MOSB-225,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,3 TON PU,1.0,100.0,0
HVDC-DSV-PRE-SHU-MIR-227,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,FLATBED,1.0,420.0,0
HVDC-DSV-PRE-SHU-MIR-227,PRESTIGE MUSSAFAH,SHUWEIHAT POWER STATION,FLATBED,1.0,600.0,0
HVDC-DSV-HE-SHU-228,DSV M44 WAREHOUSE,SHUWEIHAT POWER STATION,FLATBED,2.0,600.0,0
HVDC-DSV-MOSB-229,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,FLATBED,2.0,200.0,0
HVDC-DSV-SHU-SKM-226,SHUWEIHAT POWER STATION,Surti Industries LLC (JEBEL ALI),3 TON PU,1.0,410.0,0
HVDC-DSV-PRE-MIR/SHU-230,PRESTIGE MUSSAFAH,MIRFA PMO SAMSUNG,FLATBED,5.0,420.0,0
HVDC-DSV-PRE-MIR/SHU-230,PRESTIGE MUSSAFAH,SHUWEIHAT POWER STATION,FLATBED,4.0,600.0,0
HVDC-ADOPT-SCT-0123-0124,DSV MUSSAFAH YARD,SAMSUNG MOSB YARD,FLATBED,1.0,200.0,0
HVDC-ADOPT-SCT-0123-0124,DSV MUSSAFAH YARD,"MIRFA PMO SAMSUNG +
 SHUWEIHAT POWER STATION",FLATBED,1.0,810.0,0
HVDC-ADOPT-HE-0499,MOSB,SHUWEIHAT POWER STATION,LOWBED,2.0,1524.8468345813478,0
HVDC-DSV-PRE-MDAS-232 (PEI_SCT-19LT-PJC-LPO-1450),PRESTIGE MUSSAFAH,SAMSUNG MOSB YARD,3 TON PU,1.0,100.0,0
HVDC-DSV-PRE-MDAS-232 (PEI_SCT-19LT-PJC-LPO-1450),SAMSUNG MOSB YARD,SHUWEIHAT POWER STATION,3 TON PU,1.0,210.0,0
HVDC-DSV-HAU-SHU-231,HAULER DUBAI,SHUWEIHAT POWER STATION,FLATBED HAZMAT,2.0,1307.0115724982982,0
HVDC-DSV-HE-AGI-233,DSV M44 WAREHOUSE,SAMSUNG MOSB YARD,FLATBED,1.0,200.0,0
HVDC-DSV-SHU-MIR-235,SHUWEIHAT POWER STATION,MIRFA PMO SAMSUNG,FLATBED,1.0,600.0,0
HVDC-DSV-SAS-SHU-234,SAS POWER INDUSTRIES FZE,Shuweihat Power Station,FLATBED,1.0,1780.0,0
